Question,Answer,URL
Can I add sources to couple relationships or parent-child relationships in the Family Tree mobile app?,"In the Family Tree mobile app, you cannot add sources to couple relationships or parent-child relationships; you can only add a source to a person.",https://www.familysearch.org/en/help/helpcenter/article/how-do-i-create-a-source-in-family-tree
What do I need to do to add a source from an outside website to Family Tree?,"When adding an outside source, manually enter the title, web page, citation, and notes to provide enough information for others to find it.",https://www.familysearch.org/en/help/helpcenter/article/how-do-i-add-an-outside-source-to-family-tree
How do I create a new source in my source box?,"To create a new source in your source box, follow the steps to add a new source and check the option to add it to your source box during the process.",https://www.familysearch.org/en/help/helpcenter/article/how-do-i-create-a-new-source-in-source-box
What should I do if I want to detach a source from a person in Family Tree?,"To detach a source from a person, navigate to the person's profile, find the source, and follow the steps to detach it.",https://www.familysearch.org/en/help/helpcenter/article/how-do-i-detach-a-source-from-a-person-in-family-tree
How do I attach a source from my source box to a person in Family Tree?,"To attach a source from your source box, navigate to the person's profile, open your source box, and select the source to attach.",https://www.familysearch.org/en/help/helpcenter/article/from-my-source-box-how-do-i-attach-a-source-to-a-person-in-family-tree
What happens if the same child shows more than once in a family in Family Tree?,"If the same child appears more than once, check the ID numbers to determine if they are duplicates and follow the merging process if necessary.",https://www.familysearch.org/en/help/helpcenter/article/the-same-child-shows-more-than-once-in-a-family-in-family-tree
How do I edit a source in my source box after copying it?,"After copying a source to your source box, you can click **Edit** to change the date, title, notes, and reasons for changing the source fields.",https://www.familysearch.org/en/help/helpcenter/article/how-do-i-copy-a-source-from-source-box
Can I create a source for a living individual in Family Tree?,"Yes, you can add sources to both living and deceased individuals in Family Tree.",https://www.familysearch.org/en/help/helpcenter/article/how-do-i-create-a-source-in-family-tree
What does the message 'This source has not been attached to all people found in the record' mean?,"It means that the source contains information about one or more people, but it has not been attached to them in Family Tree.",https://www.familysearch.org/en/help/helpcenter/article/how-do-i-handle-unfinished-attachments-in-family-tree
How can I access unfinished attachments on a person's Sources tab?,Click 'Unfinished Attachments' on the person's Sources tab.,https://www.familysearch.org/en/help/helpcenter/article/how-do-i-handle-unfinished-attachments-in-family-tree
What should I do before adding a person from a record to Family Tree?,"Indicate whether the person is living, as FamilySearch keeps information about living people private.",https://www.familysearch.org/en/help/helpcenter/article/how-do-i-handle-unfinished-attachments-in-family-tree
How do I dismiss the unfinished attachment notification?,"Click 'Dismiss' to remove the notification, but note that it will be removed for all users and cannot be reviewed later.",https://www.familysearch.org/en/help/helpcenter/article/how-do-i-handle-unfinished-attachments-in-family-tree
Can I turn off unfinished attachments messages?,"Yes, click 'Options' at the top of the Sources tab and switch off 'Unfinished Attachments'.",https://www.familysearch.org/en/help/helpcenter/article/how-do-i-handle-unfinished-attachments-in-family-tree
How do I print a source from my source box?,"Click your name, go to 'Source Box', select the source, click 'View', and then click 'Print'.",https://www.familysearch.org/en/help/helpcenter/article/how-do-i-print-a-source-from-my-source-box
Is the source box feature available in the Family Tree mobile app?,"No, the source box feature is not available in the Family Tree and Memories mobile apps.",https://www.familysearch.org/en/help/helpcenter/article/how-do-i-print-a-source-from-my-source-box
How can I search my source box?,"Click your name, go to 'Source Box', and enter the words you want to find in the search field.",https://www.familysearch.org/en/help/helpcenter/article/how-do-i-search-my-source-box
Can I organize my source box using folders?,"Yes, you can create up to 200 folders with unique names to organize your sources.",https://www.familysearch.org/en/help/helpcenter/article/how-do-i-use-the-folders-in-source-box
What categories can I tag sources in Source Linker?,"You can tag sources for details like Name, Birth, Death, Sex, Christening, Burial, and Residence.",https://www.familysearch.org/en/help/helpcenter/article/how-tagging-works
What improvements have been made to the Source Linker?,"The design has been updated for better user experience, with new features and colors for better navigation.",https://www.familysearch.org/en/help/helpcenter/article/new-look-and-feel
What should I do if the people in the Source Linker are not my ancestors?,Click 'Find Your Family' to generate a list of Family Tree profiles that potentially match your ancestors.,https://www.familysearch.org/en/help/helpcenter/article/not-your-family-find-your-family-and-attach-the-source
How do I know who the focus person is in Source Linker?,The focus person appears under a blue bar near the top of the two columns of Source Linker.,https://www.familysearch.org/en/help/helpcenter/article/understanding-the-focus-person-in-source-linker
Can I change the focus person in Source Linker?,"Yes, you can change the focus person by clicking 'Change Person' and selecting a new focus person.",https://www.familysearch.org/en/help/helpcenter/article/understanding-the-focus-person-in-source-linker
What information do the left and right columns of Source Linker display?,"The left column shows details from the historical record, while the right column shows details from the ancestor’s person page in Family Tree.",https://www.familysearch.org/en/help/helpcenter/article/understanding-the-source-linker-screen-layout
What do I do if some people identified in a record are not attached to a profile in Family Tree?,You can attach those people from the record to someone already in Family Tree or add them as new profiles.,https://www.familysearch.org/en/help/helpcenter/article/unfinished-attachments-how-to-add-others-on-record-to-family-tree#attaching-individuals-from-the-record-to-someone-already-in-family-tree
How do I remove the Unfinished Attachments notification?,Click 'Dismiss' from the Source list or turn off notifications in the 'Options' tab.,https://www.familysearch.org/en/help/helpcenter/article/unfinished-attachments-how-to-add-others-on-record-to-family-tree#remove-the-unfinished-attachments-notification
What are record hints in Family Tree?,"Record hints are historical records that FamilySearch finds for you about your ancestors. These hints can often help you identify missing children, parents, siblings, and other relatives in your family tree. Learn more about record hints.",https://www.familysearch.org/en/help/helpcenter/source-linker-learning-center
What is the difference between the left and the right column in Source Linker?,The left column shows you details from the historical record. The right column shows you details from the ancestor's person page in the FamilySearch Family Tree.,https://www.familysearch.org/en/help/helpcenter/source-linker-learning-center
What do the Details and Compare buttons do in Source Linker?,"The Details button expands both the record details (left column) and the person details (right column) The Compare button also expands the record details and the person details. In addition, if information in the record is not already in Family Tree, you will see green Add buttons that allow you to add the information.",https://www.familysearch.org/en/help/helpcenter/source-linker-learning-center
What is my source box?,"Your source box contains a list of sources that you have saved. In your source box, you can create, edit, and organize sources. You can also copy them and attach them to profiles in the Family Tree. Selecting Add to Source Box in Source Linker saves the source's bibliographic information to your FamilySearch account. After that, you can revisit the source any time you want: Sign in to FamilySearch. In the top right corner, click your name. Click Source Box .",https://www.familysearch.org/en/help/helpcenter/source-linker-learning-center
How do I give feedback to FamilySearch about Source Linker?,"We want to know what you think about Source Linker. Here's how to give feedback: At the bottom of the Source Linker page, click the Feedback button. Select the emoji that best describes your reaction. In the feedback box that opens, enter your thoughts and suggestions. Thank you for sharing!",https://www.familysearch.org/en/help/helpcenter/source-linker-learning-center
I'm stumped. How can I get help with Source Linker?,The Source Linker Learning Center is a great first option. You can also visit FamilySearch Help and Learning or contact FamilySearch Support .,https://www.familysearch.org/en/help/helpcenter/source-linker-learning-center
Why is attaching a source important?,"Sources help answer questions and make information about ancestors more accurate. They also make exploring the Tree a richer, more inspiring experience. These are just a few of the benefits of attaching sources to the FamilySearch Family Tree.",https://www.familysearch.org/en/help/helpcenter/source-linker-learning-center
What do I do with an unfinished attachment?,"An unfinished attachment is a source that has not been attached to all of the people mentioned in the source. If you encounter an unfinished attachment , try reviewing it and attaching it to the other relatives mentioned in it.",https://www.familysearch.org/en/help/helpcenter/source-linker-learning-center
